iter	Passed	Remaining
697	2879	79624
698	2885	79667
699	2889	79663
700	2896	79745
701	2902	79802
702	2907	79796
703	2913	79845
704	2917	79848
705	2923	79901
706	2928	79916
707	2933	79922
708	2936	79903
709	2940	79900
710	2948	79977
711	2951	79960
712	2954	79927
713	2960	79957
714	2965	79987
715	2968	79951
716	2971	79909
717	2976	79933
718	2980	79935
719	2984	79906
720	2987	79870
721	2991	79883
722	2995	79879
723	2999	79869
724	3002	79827
725	3007	79850
726	3012	79863
727	3015	79831
728	3018	79791
729	3023	79813
730	3027	79799
731	3030	79763
732	3033	79722
733	3036	79691
734	3043	79760
735	3046	79744
736	3050	79719
737	3053	79694
738	3058	79723
739	3062	79712
740	3066	79690
741	3070	79686
742	3074	79693
743	3079	79694
744	3082	79663
745	3086	79660
746	3091	79676
747	3095	79664
748	3098	79632
749	3102	79630
750	3106	79622
751	3110	79610
752	3113	79585
753	3117	79566
754	3120	79552
755	3126	79578
756	3129	79549
757	3132	79515
758	3137	79536
759	3141	79532
760	3144	79496
761	3147	79463
762	3153	79502
763	3156	79481
764	3159	79453
765	3163	79440
766	3169	79474
767	3172	79444
768	3175	79418
769	3178	79378
770	3182	79373
771	3186	79373
772	3189	79342
773	3192	79301
774	3195	79260
775	3199	79268
776	3204	79271
777	3206	79233
778	3209	79189
779	3212	79150
780	3217	79175
781	3220	79149
782	3223	79109
783	3225	79069
784	3231	79097
785	3235	79089
786	3238	79066
787	3241	79032
788	3244	79002
789	3249	79011
790	3253	79013
791	3256	78973
792	3259	78941
793	3263	78932
794	3267	78941
795	3272	78947
796	3275	78917
797	3279	78907
798	3283	78910
799	3286	78883
800	3289	78850
801	3294	78864
802	3298	78855
803	3302	78839
804	3304	78803
805	3308	78782
806	3312	78778
807	3317	78787
808	3322	78804
809	3327	78827
810	3331	78819
811	3335	78820
812	3338	78787
813	3343	78798
814	3346	78783
815	3350	78769
816	3353	78741
817	3358	78757
818	3361	78736
819	3367	78765
820	3370	78734
821	3375	78750
822	3378	78730
823	3382	78711
824	3385	78682
825	3388	78658
826	3393	78665
827	3397	78676
828	3400	78644
829	3404	78622
830	3409	78638
831	3413	78635
832	3416	78613
833	3419	78591
834	3424	78610
835	3428	78596
836	3431	78568
